0.0	950	50	0
0.1	945	53	1
0.2	940	56	2
0.30000000000000004	935	59	3
0.4	930	62	4
0.5	924	65	5
0.6	924	65	5
0.7	918	69	6
0.7999999999999999	912	73	7
0.8999999999999999	906	77	8
0.9999999999999999	899	81	9
1.0999999999999999	892	85	10
1.2	885	90	11
1.3	869	100	13
1.4000000000000001	861	105	15
1.5000000000000002	852	111	17
1.6000000000000003	843	117	19
1.7000000000000004	834	123	21
1.8000000000000005	824	129	23
1.9000000000000006	814	135	25
2.0000000000000004	804	142	27
2.1000000000000005	793	149	29
2.2000000000000006	782	156	31
2.3000000000000007	771	163	34
2.400000000000001	759	170	37
2.500000000000001	747	178	40
2.600000000000001	735	186	43
2.700000000000001	722	194	46
2.800000000000001	709	202	49
2.9000000000000012	696	210	53
3.0000000000000013	682	218	57
3.1000000000000014	668	226	61
3.2000000000000015	654	234	65
3.3000000000000016	640	243	69
3.4000000000000017	626	252	73
3.5000000000000018	611	261	78
3.600000000000002	596	270	83
3.700000000000002	581	279	88
3.800000000000002	566	288	93
3.900000000000002	551	296	98
4.000000000000002	536	304	103
4.100000000000001	521	312	109
4.200000000000001	506	320	115
4.300000000000001	491	328	121
4.4	476	335	127
4.5	461	342	133
4.6	461	342	133
4.699999999999999	446	349	139
4.799999999999999	432	355	145
4.899999999999999	418	361	152
4.999999999999998	404	367	159
5.099999999999998	390	372	166
5.1999999999999975	376	377	173
5.299999999999997	363	382	180
5.399999999999997	350	386	187
5.4999999999999964	337	390	194
5.599999999999996	325	393	201
5.699999999999996	313	396	208
5.799999999999995	301	399	215
5.899999999999995	290	401	222
5.999999999999995	279	403	230
6.099999999999994	268	405	238
6.199999999999994	258	406	246
6.299999999999994	248	407	254
6.399999999999993	239	407	262
6.499999999999993	230	407	270
6.5999999999999925	221	407	278
6.699999999999992	212	406	286
6.799999999999992	204	405	294
6.8999999999999915	196	404	302
6.999999999999991	188	403	310
7.099999999999991	181	401	318
7.19999999999999	174	399	326
7.29999999999999	167	397	333
7.39999999999999	161	395	340
7.499999999999989	155	392	347
7.599999999999989	149	389	354
7.699999999999989	143	386	361
7.799999999999988	138	383	368
7.899999999999988	133	380	375
7.999999999999988	128	376	382
8.099999999999987	123	372	389
8.199999999999987	118	368	396
8.299999999999986	114	364	403
8.399999999999986	110	360	410
8.499999999999986	106	356	417
8.599999999999985	102	352	424
8.699999999999985	98	348	431
8.799999999999985	94	344	437
8.899999999999984	91	340	443
8.999999999999984	88	335	449
9.099999999999984	85	330	455
9.199999999999983	82	325	461
9.299999999999983	79	320	467
9.399999999999983	76	315	473
9.499999999999982	73	310	479
9.599999999999982	71	305	485
9.699999999999982	69	300	491
9.799999999999981	67	295	497
9.89999999999998	65	290	502
9.99999999999998	63	285	507
